Year,Laureate,Country,Language(s),Age Awarded
1901,Sully Prudhomme,France,French,62
1902,Theodor Mommsen,Germany,German,85
1903,Bjørnstjerne Bjørnson,Norway,Norwegian,71
1904,Frédéric Mistral,France,Provençal,74
1904,José Echegaray,Spain,Spanish,72
1905,Henryk Sienkiewicz,Poland,Polish,59
1906,Giosuè Carducci,Italy,Italian,71
1907,Rudyard Kipling,United Kingdom,English,42
1908,Rudolf Christoph Eucken,Germany,German,62
1909,Selma Lagerlöf,Sweden,Swedish,51
1910,Paul von Heyse,Germany,German,80
1911,Maurice Maeterlinck,Belgium,French,49
1912,Gerhart Hauptmann,Germany,German,50
1913,Rabindranath Tagore,British India,Bengali and English,52
1914,No laureates,,,
1915,Romain Rolland,France,French,49
1916,Verner von Heidenstam,Sweden,Swedish,56
1917,Karl Adolph Gjellerup,Denmark,Danish and German,60
1917,Henrik Pontoppidan,Denmark,Danish,60
1918,No laureates,,,
1919,Carl Spitteler,Switzerland,German,74
1920,Knut Hamsun,Norway,Norwegian,61
1921,Anatole France,France,French,77
1922,Jacinto Benavente,Spain,Spanish,56
1923,William Butler Yeats,Ireland,English,58
1924,Władysław Reymont,Poland,Polish,57
1925,George Bernard Shaw,United Kingdom,English,69
1926,Grazia Deledda,Italy,Italian,55
1927,Henri Bergson,France,French,68
1928,Sigrid Undset,Denmark,Norwegian,46
1929,Thomas Mann,Germany,German,54
1930,Sinclair Lewis,United States,English,45
1931,Erik Axel Karlfeldt,Sweden,Swedish,67
1932,John Galsworthy,United Kingdom,English,65
1933,Ivan Bunin,Russia,Russian,63
1934,Luigi Pirandello,Italy,Italian,67
1935,No laureates,,,
1936,Eugene O'Neill,United States,English,48
1937,Roger Martin du Gard,France,French,56
1938,Pearl Buck,United States,English,46
1939,Frans Eemil Sillanpää,Finland,Finnish,51
1940,No laureates,,,
1941,No laureates,,,
1942,No laureates,,,
1943,No laureates,,,
1944,Johannes Vilhelm Jensen,Denmark,Danish,71
1945,Gabriela Mistral,Chile,Spanish,56
1946,Hermann Hesse,Germany,German,69
1947,André Gide,France,French,78
1948,Thomas Stearns Eliot,United States,English,60
1949,William Faulkner,United States,English,52
1950,Bertrand Russell,United Kingdom,English,78
1951,Pär Lagerkvist,Sweden,Swedish,60
1952,François Mauriac,France,French,67
1953,Winston Churchill,United Kingdom,English,79
1954,Ernest Hemingway,United States,English,55
1955,Halldór Laxness,Iceland,Icelandic,53
1956,Juan Ramón Jiménez,Spain,Spanish,75
1957,Albert Camus,Algeria,French,44
1958,Boris Pasternak,Russia,Russian,70
1959,Salvatore Quasimodo,Italy,Italian,58
1960,Saint-John Perse,Guadeloupe,French,73
1961,Ivo Andrić,Austria-Hungary,Serbo-Croatian,69
1962,John Steinbeck,United States,English,60
1963,Giorgos Seferis,Greece,Greek,63
1964,Jean-Paul Sartre,France,French,59
1965,Mikhail Sholokhov,Soviet Union,Russian,60
1966,Shmuel Yosef Agnon,Israel,Hebrew,79
